lens_id,title,abstract,date_published,jurisdiction,cpc_codes
031-308-347-655-782,Chemical industrial natural adhesive,"The invention relates to the technical field of adhesives, in particular to a chemical industrial natural adhesive. The chemical industrial natural adhesive is prepared from the following raw materials in parts by mass: 30 to 50 parts of water, 25 to 45 parts of starch, 3 to 5 parts of animal glue, 1 to 8 parts of hide glue, 5 to 8 parts of rosin and 5 to 15 parts of asphalt. The chemical industrial natural adhesive disclosed by the invention has the beneficial effects that the storage of the adopted raw materials is rich, and the production cost is greatly reduced.",2018-12-11,CN,C09J103/02; C08L2205/035; C09J11/08
033-983-874-636-147,Full-bio-based adhesive based on epoxidized soybean oil and preparation method of full-bio-based adhesive,"The invention discloses a full-bio-based adhesive based on epoxidized soybean oil and a preparation method of the full-bio-based adhesive. Specifically, according to the method, epoxidized soybean oil is taken as a reaction substrate, citric acid is taken as a nucleophilic reagent to open an epoxy ring of the epoxidized soybean oil, tannic acid is taken as a catechol-like compound to provide adhesion performance after cross-linking polymerization, and a bio-based cross-linked network structure with excellent adhesion performance is constructed. The environment-friendly adhesive is researched and developed on the basis of full bio-based raw materials, and has the remarkable characteristics of no toxicity, reproducibility, environment friendliness and the like. The adhesive adopts an efficient one-pot synthesis process, the preparation process is simple and convenient, and industrial mass production is easy to realize. And the performance is excellent, the tensile strength and long-term stability are excellent, and due to the outstanding water resistance and mildew-proof performance, the coating stands out of similar products. In addition, the product is wide in raw material source and obvious in cost advantage, and has high performance and economic benefits.",2025-07-04,CN,C09J191/00; C09J11/06
034-959-300-419-211,Preparation method of high-strength bio-based adhesive for sponge,"The invention discloses a preparation method of a high-strength bio-based adhesive for sponge. The method comprises the following steps of: (1) uniformly mixing and stirring curcas oil, m-chlorocinnamic acid, activated clay and propionic anhydride, and carrying out reaction treatment to obtain modified curcas oil; (2) carrying out reaction treatment on chestnut shell lignin, formaldehyde and sodium hydroxide to obtain modified lignin; and (3) uniformly mixing and stirring the modified curcas oil, the modified lignin, phenol, sodium hydroxide, barium-based lubricating grease and a flexibilizer,and carrying out reaction treatment for 30-40min in an environment of 75-85DEG C to obtain the high-strength bio-based adhesive for sponge. According to the preparation method of the high-strength bio-based adhesive for the sponge, the operation process is green and environmentally friendly, industrial continuous production can be achieved, the prepared high-strength bio-based adhesive is high inbonding strength, easy to degrade and free of corrosion, and the service life of the sponge can be effectively prolonged.",2021-03-19,CN,C09J197/005; C08H6/00; C08L2205/035; C09J11/08
041-503-397-623-11X,High strength plant-based adhesive and preparation method thereof,"The present invention discloses a high strength plant-based adhesive, which comprises, by weight, 40-70 parts of plant modified starch, 1-3 parts of modified filler, 15-20 parts of polylactic acid, 10-15 parts of polyurethane, 5-11 parts of chlorinated paraffin, 8-13 parts of hydrogenated rosin resin, 1-3 parts of lauric acid diethanolamide, 0.8-1.5 parts of boron nitride fiber, 1-2 parts of castor oil, 0.5-1 part of a dispersant, and 1-2 parts of antioxidant. The invention further discloses a preparation method of the high strength plant-based adhesive. The prepared high strength plant-based adhesive of the present invention has characteristics of good stability, high adhesion strength, and low preparation cost.",2017-10-24,CN,C09J103/02; C08K2003/262; C08L2201/08; C08L2205/02; C08L2205/035; C09J11/04; C09J11/06; C09J11/08
045-699-539-880-174,BIO-BASED ADHESIVE FOR ELECTRICAL INSULATION,,2024-11-13,EP,C09J101/286; C09J105/00; C09J189/00; C09J189/005; C09J11/04; C09J101/32; C09J189/00
048-313-921-612-749,Full-bio-based adhesive as well as preparation method and application thereof,"The invention discloses a full-bio-based adhesive as well as a preparation method and application thereof. The full-bio-based adhesive is particularly suitable for the wood product manufacturing industry. According to the technology, the problem that a traditional adhesive releases toxic gas in the production and application processes is solved, and an alternative scheme is provided for increasingly deficient fossil resources. Rich bamboo resources in China are utilized, natural lignin and cellulose are adopted as raw materials, and the raw materials are converted into the high-efficiency adhesive through a series of innovative steps. The method comprises the following steps: firstly, mixing bamboo powder or wood powder with a dispersing agent and water to realize full swelling and loosening of raw materials; secondly, performing mechanical treatment, such as a colloid mill or a high-pressure homogenizer, to realize micro-nano treatment of the raw materials so as to obtain smooth paste; and finally, mixing the paste with a modifier and a solvent, and carrying out stirring reaction under specific conditions to prepare the adhesive. According to the adhesive, a dispersing agent and a modifying agent do not need to be removed, and react with lignin in the hot pressing process to form stable chemical bonds, so that the bonding effect is improved.",2024-05-28,CN,C09J197/02; B27D1/04; C09J11/06
051-325-366-209-016,Natural adhesive for carton adhesion,"The invention relates to a natural adhesive for carton adhesion. The bonding strength of the adhesive is improved, and the physicochemical properties of the adhesive is also changed by modifying soybean protein so that the original perishable molecular structure of the adhesive is inactivated, the hydrophobicity of the adhesive is improved, and the adhesive has good corrosion resistance and waterresistance. The storage time and the use performance of the protein adhesive are effectively improved, the adhesive has good bonding capacity for cartons, and the viscosity reaches 1.9 Pa.s or above;preparation raw materials are rich in source, low in price and renewable, harmful gas such as formaldehyde and phenol is not generated in the using process, harm to human health is avoided, environmental pollution is avoided, the problems that an existing protein adhesive is generally poor in corrosion resistance, short in working life and the like are solved, the carton adhesion quality is guaranteed, the carton strength is improved, and large-scale and high-efficiency production can be realized.",2021-01-29,CN,C09J189/00; C08K2003/324; C09J11/04; C09J11/06; C09J11/08
052-674-938-652-948,METHOD FOR FABRICATING NATURAL ADHESIVE USING GARLIC,,2014-12-17,EP,C09J193/00; C09J193/00; C09J193/00
054-701-167-465-872,Waterproof antibacterial bio-base adhesive and preparation method thereof,"The invention relates to a waterproof antibacterial bio-base adhesive and a preparation method thereof. The preparation method particularly comprises the following steps: 1-(3-dimethylaminopropyl)3-ethylcarbodiimide hydrochloride and N-hydroxysuccinimide are added into an amino-terminated hyperbranched polyester water solution; iconic acid is added, an amination reaction is carried out on the iconic acid with amino groups of the amino-terminated hyperbranched polyester, and then the iconic acid is connected to the end of the amino-terminated hyperbranched polyester; 2,3-epoxypropyltrimethyl ammonium chloride is added, and epoxy groups of the 2,3-epoxypropyltrimethyl ammonium chloride reacts with free carboxyl groups of the iconic acid at the end of the amino-terminated hyperbranched polyester, so that a hyperbranched polyester containing nitrogen positive ions at the end is synthesized; and organosiloxane with double bonds, sodium dodecyl sulfonate and an initiator are added to carry out reacting to obtain the waterproofing antibacterial bio-base adhesive. The adhesive prepared by the method is green and pollution-free and has good waterproof and antibacterial effects, and the preparation method is simple.",2019-11-08,CN,C08F283/01; C09J151/08
055-027-151-800-976,BIO-BASED ADHESIVE MATERIAL,"An adhesive product and method of making the product replaces asphalt in the manufacture of roofing shingles and pavement. The method comprises steps of forming a mixture of oil comprising fatty acids and a powdered material; maintaining the oil to powdered material weight ratio in the mixture between 1 to 0.01 and 1 to 4.9; heating the mixture to a reaction temperature greater than 100 degrees Centigrade; maintaining the reaction temperature for at least five minutes; and, injecting air into the mixture while maintaining the reaction temperature. In making a roofing shingle, the method includes additional steps of: applying the heated mixture to a fiberglass mat sheet from an upstream roll to form a tacky coated strip; and, adding a layer of granules to the tacky coated strip. The adhesive material of this method comprises polymerized oil and the powdered material.",2011-10-13,WO,C04B26/003; C04B26/006; C04B28/02; C04B28/14; C04B2103/0046; C04B2111/00586; C04B2111/00612; C04B2111/0075; C04B2111/60; C09J191/00; Y02W30/91; C04B26/003; C04B26/006; C04B28/02; C04B28/14; C04B2103/0046; C04B2111/00586; C04B2111/00612; C04B2111/0075; C04B2111/60; C09J191/00; Y02W30/91
055-331-493-361-818,BIO-BASED ADHESIVE COMPOSITION BASED ON LIGNIN,"The present invention relates to an adhesive composition based on a lignin structure, wherein the lignin structure is a lignin functionalised by reaction with dimethylformamide and acrylic acid.",2023-08-24,WO,C09J197/005; C08H6/00; C09J197/005; C08H6/00; C09J5/00; C09J2497/00
056-791-943-225-105,BIOBASED ADHESIVE COMPOSITIONS AND METHODS OF MAKING THE SAME,An adhesive composition comprising a lignin-based tackifying agent exhibiting a glass transition temperature no greater than 120°C and a thermoplastic polymer.,2022-12-29,WO,C09J123/0853; C09J197/005; C09J5/06; C09J123/0853
057-717-439-155-268,Full-bio-based adhesive and preparation method and application thereof,"The invention relates to the field of adhesives, in particular to a full-bio-based adhesive and a preparation method and application thereof. The method comprises the following steps: preparation of demethylated nano-lignin: carrying out nanocrystallization treatment on the demethylated nano-lignin; preparation of oxidized nanocellulose; and preparation of the full-bio-based adhesive: carrying outa pre-crosslinking polymerization reaction on the demethylated nano-lignin suspension, the oxidized nanocellulose suspension and pectin to obtain the full-bio-based adhesive. According to the full-bio-based adhesive and the preparation method thereof provided by the invention, lignin is subjected to demethylation and nanocrystallization treatment, and cellulose is also subjected to nanocrystallization and oxidation treatment. In this way, the reaction efficiency of covalent bonds generated between lignin and cellulose is remarkably improved, the crosslinking degree is improved, the adhesion to a plate is good, and the bonding strength is high. By full-bio-based preparation, the release amount of harmful gases of the obtained adhesive is low, and the reutilization value of the whole plywood is improved through the main components of lignin and cellulose plywood sheets.",2020-05-05,CN,C09J101/04; C08B15/02; C08H6/00; C09J11/08
059-279-288-045-621,Modified bio-based adhesive as well as preparation method and application thereof,"The invention provides a modified bio-based adhesive as well as a preparation method and application thereof, and belongs to the technical field of adhesive preparation. The modified bio-based adhesive is obtained based on modification treatment of a sludge extract, and the modified bio-based adhesive does not release formaldehyde at all in the use process, has high reaction activity with a wood interface, and has very strong cohesive force; the preparation method of the modified bio-based adhesive is simple, and the modified bio-based adhesive has good application in bonding of artificial boards.",2023-06-30,CN,B27N3/002; B27D1/08; C08K2003/168; C09J11/04; C09J11/06; C09J11/08; C09J189/00; Y02W30/91
060-077-677-968-825,BIO-BASED ADHESIVE MATERIAL,"An adhesive product and method of making the product replaces asphalt in the manufacture of roofing shingles and pavement. The method comprises steps of forming a mixture of oil comprising fatty acids and a powdered material; maintaining the oil to powdered material weight ratio in the mixture between 1 to 0.01 and 1 to 4.9; heating the mixture to a reaction temperature greater than 100 degrees Centigrade; maintaining the reaction temperature for at least five minutes; and, injecting air into the mixture while maintaining the reaction temperature. In making a roofing shingle, the method includes additional steps of: applying the heated mixture to a fiberglass mat sheet from an upstream roll to form a tacky coated strip; and, adding a layer of granules to the tacky coated strip. The adhesive material of this method comprises polymerized oil and the powdered material.",2011-10-13,CA,C04B26/003; C04B26/006; C04B28/02; C04B28/14; C04B2103/0046; C04B2111/00586; C04B2111/00612; C04B2111/0075; C04B2111/60; C09J191/00; Y02W30/91; C04B26/003; C04B26/006; C04B28/02; C04B28/14; C04B2103/0046; C04B2111/00586; C04B2111/00612; C04B2111/0075; C04B2111/60; C09J191/00; Y02W30/91
060-211-212-414-800,Bio-based adhesive and preparation method thereof,"The invention provides a bio-based adhesive and a preparation method thereof and belongs to the technical field of high-molecular chemistry. The bio-based adhesive contains the following main components in parts by weight: bio-based starch, lignin, tea polyphenol and isocyanate. The bio-based adhesive and the preparation method provided by the invention have the advantages that the traditional preparation method for the adhesives is changed, and under the condition without adding any organic solvent and aldehyde-containing monomer, the bio-based adhesive with higher adhesiveness and heat stability is prepared by adopting natural biomass starch as a main agent, the lignin and the tea polyphenol as additives, the isocyanate as a crosslinking agent and water as a green solvent as well as a series of environment-friendly paths.",2017-11-24,CN,C09J175/04; C08F299/00; C08G18/64; C08G18/8054; C08K5/1545; C09J11/06
064-737-222-922-552,BIO-ADHESIVES,,2017-03-15,EP,B27N3/002; B27N3/02; B27N3/04; C08G18/6484; C09J103/02; C09J175/04; C08L3/02; C08L99/00; C08K2003/2206; C08G18/6446; C08G18/73; C08G18/7657; C08G18/003; C08G18/4081; C09J199/00; B27N3/002; B27N3/02; B27N3/04; C09J175/04; C08G18/003; C08G18/4081; C08G18/6446; C08G18/6484; C08G18/73; C08G18/7657; C08K2003/2206; C08L3/02; C08L99/00; C09J103/02; C08J3/20; C09J199/00
066-952-516-212-403,Water-based bio-based adhesive and preparation method thereof,"The invention discloses a water-based bio-based adhesive and a preparation method thereof, and belongs to the technical field of composite materials. The preparation method comprises the following steps: mixing an aqueous solution A containing a cationic polymer and an aqueous solution B containing an anionic polymer, centrifuging, and discarding supernate to obtain an adhesive precursor solution; and mixing a dispersion liquid C containing inorganic particles and an organic cross-linking agent with the adhesive precursor solution to obtain the water-based bio-based adhesive. According to the preparation method, inorganic particles and an organic cross-linking agent are introduced into an adhesive precursor solution, and a large number of physical and chemical cross-linking sites are formed between a cationic polymer and an anionic polymer, so that on one hand, the cohesive strength of the material is greatly improved, and the mechanical interlocking effect between bonding interfaces is enhanced; the bonding effect on wood, glass and steel is obviously improved; on the other hand, water resistance of the material can be enhanced, and interference of a humid environment is effectively resisted.",2025-10-28,CN,C09J177/04; C08K2003/2296; C09J11/04; C09J11/06; C09J105/08
067-201-255-648-266,"BIOBASED ADHESIVE COMPOSITION, METHOD FOR OBTAINING SAME AND USE THEREOF AS ADHESIVE","The invention relates to an adhesive composition in the form of a suspension in water of a microfibrillated cellulose complex and at least one branched polysaccharide, with a dry matter content of between 10% and 40% by weight. This composition is obtained by a method comprising: a step of extruding, in a twin-screw extruder, a mixture of water, cellulose fibers and at least one branched polysaccharide, this mixture containing from 10% to 40% by weight of dry matter, and the ratio of the percentages by weight of branched polysaccharide(s) and cellulose in the mixture being between 5/95 and 50/50; and, before or during this extrusion step, a step of enzymatically treating the cellulose fibers by means of a cellulase.",2026-04-30,WO,C08B37/0057; C12P19/04; C08B15/04; B27N3/002; D21C9/007; B27N3/04; B27N3/02; D21H11/18; C09J105/14
067-880-315-934-190,Bio-based adhesive as well as preparation method and application thereof,"The invention provides a bio-based adhesive as well as a preparation method and application thereof. The bio-based adhesive comprises caffeic acid, glyoxal, water, sodium hydroxide, a poly (4, 4 '-diphenylmethane diisocyanate) thickening agent, a defoaming agent and a preservative. According to the bio-based formaldehyde-free adhesive disclosed by the invention, the caffeic acid and the glyoxal are taken as matrixes, the glyoxal is added to a phenol ring of the caffeic acid to form cresol, and then the cresol is connected with the phenol ring to form a prepolymer for chain growth to form the adhesive. Sodium hydroxide is used as a base catalyst, and the adhesion strength is improved through a poly (4, 4 '-diphenylmethane diisocyanate) thickener. The adhesive provided by the invention uses bio-based raw materials, can replace petroleum-based raw materials to play a role in phenolic resin production, is a safe and environment-friendly bio-based formaldehyde-free adhesive, and has a great development prospect.",2023-07-14,CN,C09J187/00; C09J11/00; C09J11/06; C09J11/08; Y02W30/91
071-585-253-857-873,Bio-based adhesive for electrical insulation,"The present disclosure is providing a bio-based adhesive composition which is water-based. The adhesive composition includes bioprotein, salt of carboxymethyl cellulose, gum, alkali and a solvent. The adhesive composition is prepared at ambient conditions. The adhesive composition is useful for insulation of the electric material, especially for pressboard for a transformer which requires good adhesive for imparting good mechanical and electrical strength.",2025-06-03,US,C09J101/286; C09J105/00; C09J189/00; C09J189/005; C09J11/04; C09J101/32; C09J189/00
072-422-340-239-109,Underwater bonding of bio-based adhesives,"An underwater binder composition comprising zein and tannic acid, alone or further together with FeCl3, an inorganic filler, a natural polymer, or any combination thereof; and methods of making them.",2024-09-27,CN,C09J189/00; C09J199/00; C09J199/00; C08K3/16; C08K3/34; C08K3/346; C08L1/08; C08L89/00; C08L99/00; C09J11/04; C09J189/00; C09J189/00; C08K3/16; C08K3/26; C08K3/346; C08K5/1345; C08K2003/265; C09J9/00
072-429-377-611-420,BIO-ADHESIVES,"Distiller's Grain (DG) based bio-adhesives consisting of DG biomass, crosslinking agents, and fillers are described as substitutes for formaldehyde based wood glue for making wood panels. Algal bio-adhesives consisting of algal biomass, crosslinking agents, and fillers are described as substitutes for formaldehyde based glue for making wood panels. Processes for preparing such DG based bio- adhesives and algal bio-adhesives are provided, comprising the steps of: combining DG biomass or algal material with a cross-linking agent and inorganic fillers to form a blend; micronisation or homogenisation of the blend to obtain powdery material; and mixing the powdery material with additional water to form a bio-adhesive.",2016-02-25,WO,B27N3/002; B27N3/02; B27N3/04; C08G18/6484; C09J103/02; C09J175/04; C08L3/02; C08L99/00; C08K2003/2206; C08G18/6446; C08G18/73; C08G18/7657; C08G18/003; C08G18/4081; C09J199/00; B27N3/002; B27N3/02; B27N3/04; C09J175/04; C08G18/003; C08G18/4081; C08G18/6446; C08G18/6484; C08G18/73; C08G18/7657; C08K2003/2206; C08L3/02; C08L99/00; C09J103/02; C08J3/20; C09J199/00
074-496-503-166-069,Natural adhesive,The present invention relates to a natural adhesive containing protein and free sugar. The natural adhesive contains allinage and aline. The natural adhesive further contains lectine.,2015-09-29,US,C09J189/00; C09J189/00
074-537-070-668-52X,UNSATURATED PHOTO-CURABLE BIO-BASED ADHESIVE COMPOSITION,,2017-03-29,EP,C09J167/08
078-465-110-317-528,BIOBASED ADHESIVE COMPOSITIONS AND METHODS OF MAKING THE SAME,An adhesive composition comprising a lignin-based tackifying agent exhibiting a glass transition temperature no greater than 120° C. and a thermoplastic polymer.,2024-09-19,US,C09J123/0853; C09J197/005; C09J5/06; C09J123/0853
079-694-858-538-350,UNDERWATER BONDING WITH A BIOBASED ADHESIVE,,2025-11-26,EP,C09J189/00; C09J199/00; C09J199/00; C08K3/16; C08K3/34; C08K3/346; C08L1/08; C08L89/00; C08L99/00; C09J11/04; C09J189/00; C09J189/00; C08K3/16; C08K3/26; C08K3/346; C08K5/1345; C08K2003/265; C09J9/00
086-171-274-426-268,BIO-ADHESIVES,"Distiller's Grain (DG) based bio-adhesives consisting of DG biomass, crosslinking agents, and fillers are described as substitutes for formaldehyde based wood glue for making wood panels. Algal bio-adhesives consisting of algal biomass, crosslinking agents, and fillers are described as substitutes for formaldehyde based glue for making wood panels. Processes for preparing such DG based bio- adhesives and algal bio-adhesives are provided, comprising the steps of: combining DG biomass or algal material with a cross-linking agent and inorganic fillers to form a blend; micronisation or homogenisation of the blend to obtain powdery material; and mixing the powdery material with additional water to form a bio-adhesive.",2016-04-07,WO,C09J199/00; B27N3/002; B27N3/02; B27N3/04; C08G18/003; C08G18/4081; C08G18/6446; C08G18/6484; C08G18/73; C08G18/7657; C08K2003/2206; C08L3/02; C08L99/00; C09J103/02; C09J175/04; C09J199/00; B27N3/002; B27N3/02; B27N3/04; C08G18/003; C08G18/4081; C08G18/6446; C08G18/6484; C08G18/73; C08G18/7657; C08J3/20; C08K2003/2206; C08L3/02; C08L99/00; C09J103/02; C09J175/04
087-855-630-303-541,BIO-BASED ADHESIVE FOR ELECTRICAL INSULATION,"The present invention is providing a bio-based adhesive composition which is water-based. The adhesive composition comprises bioprotein, salt of carboxymethyl cellulose, gum, alkali and a solvent. The adhesive composition is prepared at ambient conditions. The adhesive composition is useful for insulation of the electric material. Especially for pressboard for transformer which require good adhesive for imparting good mechanical and electrical strength.",2023-07-13,WO,C09J101/286; C09J105/00; C09J189/00; C09J189/005; C09J11/04; C09J101/32; C09J189/00
088-403-540-427-785,ALGAL BIO-ADHESIVE,"An algal bio-adhesive comprising algae mass, a crosslinking agent and an inorganic filler.",2019-12-05,US,C09J199/00; B27N3/002; B27N3/02; B27N3/04; C08G18/003; C08G18/4081; C08G18/6446; C08G18/6484; C08G18/73; C08G18/7657; C08K2003/2206; C08L3/02; C08L99/00; C09J103/02; C09J175/04; C09J199/00; B27N3/002; B27N3/02; B27N3/04; C08G18/003; C08G18/4081; C08G18/6446; C08G18/6484; C08G18/73; C08G18/7657; C08J3/20; C08K2003/2206; C08L3/02; C08L99/00; C09J103/02; C09J175/04
089-023-219-018-899,BIO-BASED ADHESIVE SYSTEM,"A two-component adhesive system and methods of making and using the same. The adhesive system contains a component (A): a hydroxyl-containing compound and an organic acid amine complex or an aliphatic polyester diaol and a component (B): an aliphatic isocyanate and/or a cycloaliphatic isocyanate. The adhesive composition of the present invention is water-based and has low or is free from volatile organic compounds (""VOC""). The adhesive composition also may be composed of one or more bio-based material totaling from 24% to 95% and may have high solids of over 60% after component A and B are mixed.",2025-11-06,WO,C09J175/04; C08G18/2825; C08G18/4236; C08G18/73; C08G18/75; C08G18/751; C08G18/755; C08G18/765; C08G18/792
089-325-139-512-209,"Low-VOC bio-based adhesive, adhesive tape and preparation method of low-VOC bio-based adhesive","The invention relates to a low-VOC (volatile organic compound) bio-based adhesive, an adhesive tape and a preparation method of the low-VOC bio-based adhesive. The low-VOC bio-based adhesive comprises the following components in parts by mass: 900-960 parts of bio-based acrylic polymer emulsion; 1-5 parts of a thickening agent; 1-5 parts of a cross-linking agent; 1-6 parts of a wetting agent; 37 to 84 parts of deionized water; the bio-based acrylic polymer emulsion contains a bio-based acrylic polymer, and the bio-based acrylic polymer is obtained by polymerizing raw materials including a bio-based monomer and a non-bio-based monomer; the VOC content of the low-VOC bio-based adhesive is less than or equal to 50 ppm. The low-VOC bio-based adhesive has the advantages of high bio-based content and low VOC content, and is suitable for preparing adhesive tapes with high requirements on physical properties and environmental protection properties.",2024-06-21,CN,C09J133/24; C09J7/30; C09J11/06; C09J11/08; C09J2433/00
092-928-741-992-269,Bio-based adhesive and preparation method thereof,"The invention relates to the technical field of adhesives, in particular to a bio-based adhesive and a preparation method thereof. The bio-based adhesive is prepared from the following raw material components: bio-based polyol, bio-based isocyanate and cyclohexane diisocyanate, a tin catalyst, a chain extender and an organic solvent are not contained; the invention also provides a preparation method of the bio-based adhesive, the bio-based adhesive prepared by the invention has good biodegradability, thermoplasticity and biocompatibility, can realize biodegradation under various environmental conditions, reduces pollution to the environment, and is more environment-friendly in treatment after being discarded compared with traditional petroleum-based polyurethane.",2025-05-16,CN,C09J175/04; C08G18/28; C08G18/3206
